code,original_category,assigned_category
AVD-AWS-0137,Encryption at Rest,Encryption at Rest
AVD-AWS-0138,Encryption in Transit,Encryption in Transit
AVD-AWS-0139,Encryption at Rest,Encryption at Rest
AVD-AWS-0123,Access Policy,Access Policy
AVD-AWS-0057,Admin by default,Access Policy
AVD-AWS-0141,Admin by default,Access Policy
AVD-AWS-0065,Encryption at Rest,Outdated feature
AVD-AWS-0075,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0076,Encryption at Rest,Encryption at Rest
AVD-AWS-0128,Encryption at Rest,Encryption at Rest
AVD-AWS-0026,Encryption at Rest,Encryption at Rest
AVD-AWS-0027,Encryption at Rest,Encryption at Rest
AVD-AWS-0084,Encryption at Rest,Encryption at Rest
AVD-AWS-0127,Access Policy,Access Policy
AVD-AWS-0131,Encryption at Rest,Encryption at Rest
AVD-AWS-0008,Encryption at Rest,Encryption at Rest
AVD-AWS-0026,Encryption at Rest,Encryption at Rest
AVD-AWS-0028,Outdated feature,Access Policy
AVD-AWS-0130,Outdated feature,Access Policy
AVD-AWS-0102,IP Address binding,Access Policy
AVD-AWS-0104,IP Address binding,IP Address binding
AVD-AWS-0105,IP Address binding,IP Address binding
AVD-AWS-0107,IP Address binding,IP Address binding
AVD-AWS-0009,IP Address binding,IP Address binding
AVD-AWS-0164,IP Address binding,Access Policy
AVD-AWS-0129,Hard-coded secret,Access Policy
AVD-AWS-0029,Hard-coded secret,Access Policy
AVD-AWS-0122,Encryption at Rest,Encryption at Rest
AVD-AWS-0027,Encryption at Rest,Encryption at Rest
AVD-AWS-0133,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0078,Logging/Monitoring,Encryption at Rest
AVD-AWS-0079,Encryption at Rest,Encryption at Rest
AVD-AWS-0080,Encryption at Rest,Encryption at Rest
AVD-AWS-0082,Access Policy,IP Address binding
AVD-AWS-0037,Encryption at Rest,Encryption at Rest
AVD-AWS-0038,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0039,Hard-coded secret,Encryption at Rest
AVD-AWS-0040,Access Policy,Access Policy
AVD-AWS-0041,IP Address binding,IP Address binding
AVD-AWS-0018,Encryption at Rest,Encryption at Rest
AVD-AWS-0048,Encryption at Rest,Encryption at Rest
AVD-AWS-0042,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0043,Encryption in Transit,Encryption in Transit
AVD-AWS-0046,Encryption in Transit,Encryption in Transit
AVD-AWS-0126,Outdated feature,Outdated feature
AVD-AWS-0096,Encryption at Rest,Encryption at Rest
AVD-AWS-0097,Admin by default,Access Policy
AVD-AWS-0135,Encryption at Rest,Encryption at Rest
