Project Name,Policy ID,Evaluation
ine-labs/GCPGoat,POL39,BOTH
ine-labs/GCPGoat,POL44,NONE
input-output-hk/hydra,POL39,BOTH
input-output-hk/hydra,POL44,NONE
terraform-google-modules/terraform-docs-samples,POL39,BOTH
sungchun12/airflow-toolkit,POL39,BOTH
sungchun12/airflow-toolkit,POL44,NONE
GoogleCloudPlatform/rad-lab,POL39,BOTH
GoogleCloudPlatform/rad-lab,POL44,BOTH
SygniaLabs/ScallOps,POL39,BOTH
SygniaLabs/ScallOps,POL44,NONE
wynsen/gcp-enterprise,POL39,BOTH
hashicorp/hashicat-gcp,POL39,BOTH
hashicorp/hashicat-gcp,POL44,NONE
HPInc/cloud_deployment_scripts,POL39,BOTH
kiali/demos,POL39,BOTH
kiali/demos,POL44,BOTH
sassoftware/viya4-iac-gcp,POL39,BOTH
sassoftware/viya4-iac-gcp,POL44,TFSEC
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,POL39,BOTH
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,POL44,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL39,BOTH
saeed349/Quant-Trading-Cloud-Infrastructure,POL44,NONE
GoogleCloudPlatform/cloud-hackathons,POL39,BOTH
GoogleCloudPlatform/cloud-hackathons,POL44,NONE
GoogleCloudPlatform/terraform-google-load-balanced-vms,POL39,BOTH
GoogleCloudPlatform/terraform-sample-tools,POL39,BOTH
cloud-computer/cloud-computer,POL39,BOTH
cloud-computer/cloud-computer,POL44,NONE
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,POL39,BOTH
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,POL44,NONE
GoogleCloudPlatform/solutions-geospatial-analytics,POL39,BOTH
GoogleCloudPlatform/solutions-geospatial-analytics,POL44,NONE
GoogleCloudPlatform/guacamole-on-gcp,POL39,BOTH
GoogleCloudPlatform/guacamole-on-gcp,POL44,BOTH
sushil46in/terraform_modules,POL39,BOTH
thecloudterminal01/learn-devops,POL39,BOTH
thecloudterminal01/learn-devops,POL44,NONE
liamstevens/gcp-pca-prep,POL39,BOTH
liamstevens/gcp-pca-prep,POL44,NONE
HCA97/de-zoomcamp-project,POL39,BOTH
HCA97/de-zoomcamp-project,POL44,NONE
genesys/multicloud-platform,POL39,BOTH
genesys/multicloud-platform,POL44,NONE
shapleya/tf_gcp_iap_tunnel_ssh_demo,POL39,BOTH
shapleya/tf_gcp_iap_tunnel_ssh_demo,POL44,BOTH
ericreeves/packer-terraform-demo,POL39,BOTH
ericreeves/packer-terraform-demo,POL44,NONE
bacalhau-project/amplify,POL39,BOTH
bacalhau-project/amplify,POL44,NONE
snsinfu/bit4,POL39,BOTH
snsinfu/bit4,POL44,NONE
DDNStorage/exascaler-cloud-terraform,POL39,BOTH
memes/terraform-google-f5-bigip,POL39,NONE
memes/terraform-google-f5-bigip,POL44,NONE
minhthinhls/Linux-Command-Line-Tools,POL39,BOTH
gitrgoliveira/tfc-jit-demo,POL39,BOTH
gitrgoliveira/tfc-jit-demo,POL44,NONE
lacework-dev/detc-resources,POL39,BOTH
lacework-dev/detc-resources,POL44,NONE
Erfandarzi/medscale,POL39,BOTH
Erfandarzi/medscale,POL44,NONE
limebrew-org/limebrew-infra,POL39,BOTH
limebrew-org/limebrew-infra,POL44,NONE
ubikasec/ubika-waap-extra,POL39,BOTH
ubikasec/ubika-waap-extra,POL44,NONE
gfilicetti/gHacks,POL39,BOTH
gfilicetti/gHacks,POL44,NONE
byronwhitlock-google/AutoML-Labeling-Tool,POL39,BOTH
byronwhitlock-google/AutoML-Labeling-Tool,POL44,BOTH
luismendezescobar/myproy,POL39,BOTH
miiaht/kekkoslovakian-joulukortti-ky,POL39,BOTH
miiaht/kekkoslovakian-joulukortti-ky,POL44,BOTH
os-autoinst/os-autoinst-distri-opensuse,POL39,BOTH
os-autoinst/os-autoinst-distri-opensuse,POL44,NONE
secrethub/examples,POL39,BOTH
secrethub/examples,POL44,NONE
